CPU,RAM,Transfer Rate,Disk,Priority,User Type ,Type of File,Operation,Permissions,Access (Remote or Local),Status
0,3,0,0,Very High,Root,,,,Local,Sleeping
1,169,0,0,Normal,Root,,Read,,Local,Running
1,173,111,0,Normal,Root,,,,Local,Running
1,43,0,0,Normal,Root,,,,Local,Running
0,152,0,0,Normal,Root,,,,Local,Sleeping
0,141,0,0,Normal,Root,,,,Local,Sleeping
0,43,0,0,Normal,Root,,,,Local,Sleeping
0,39,0,7,Normal,Root,,Read,,Local,Sleeping
0,38,0,0,Normal,Root,,,,Local,Sleeping
0,22,0,0,Normal,Root,,,,Local,Sleeping
1,19,0,138,Normal,Root,,Write,,Local,Running
4,34,0,463,Normal,Root,,Write,,Local,Running
5,67,2,0,Normal,Root,,,,Local,Running
6,12,7,0,Normal,Root,,,,Local,Running
2,3,0,0,Normal,Root,,,,Local,Running
2,142,0,0,Normal,Root,,,,Local,Running
7,77,0,0,Normal,Root,,,,Local,Running
1,246,0,0,Normal,Root,,,,Local,Running
0,23,0,0,Normal,Root,,,,Local,Sleeping
0,11,0,0,Normal,Root,,,,Local,Sleeping
0,3,0,0,Normal,Root,,,,Local,Sleeping
0,4,0,324,Normal,Root,,Write,,Local,Sleeping
3,1,0,0,Normal,Root,,,,Local,Running
5,80,0,0,Normal,Root,,,,Local,Running
1,33,0,123,Normal,Root,,Write,,Local,Running
1,20,6,0,Normal,Root,,,,Local,Running
1,35,0,0,Normal,Root,,,,Local,Running
2,146,0,0,Normal,Root,,,,Local,Running
0,56,0,0,Normal,Root,,,,Local,Sleeping
0,425,0,0,Normal,Root,,,,Local,Sleeping
0,223,0,0,Normal,Root,,,,Local,Sleeping
5,13,0,74,Normal,Root,,Read,,Local,Running
3,23,0,0,Normal,Root,,,,Local,Running
3,632,0,0,Normal,Root,,,,Local,Running
6,98,0,0,Normal,Root,,,,Local,Running
6,33,0,0,Normal,Root,,,,Local,Running
3,2,0,0,Normal,Root,,,,Local,Running
1,6,0,67,Normal,Root,,Read,,Local,Running
1,3,0,0,Normal,Root,,,,Local,Running
0,1,0,0,Normal,Root,,,,Local,Sleeping
0,75,0,0,Normal,Root,,,,Local,Sleeping
0,24,0,0,Normal,Root,,,,Local,Sleeping
0,68,0,1,Normal,Root,,Read,,Local,Sleeping
2,113,0,5,Normal,Root,,Read,,Local,Running
3,24,0,0,Normal,Root,,,,Local,Running
1,7,0,0,Normal,Root,,,,Local,Running
1,0,0,0,Normal,Root,,,,Local,Running
1,1,0,0,Normal,Root,,,,Local,Running
0,57,0,35,Normal,Root,,Read,,Local,Sleeping
0,12,0,0,Normal,Root,,,,Local,Sleeping
